                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     54,                 1.1093,                 0.7443,                 1.3045,                0.88786,                0.91142,                 0.9164,                0.62682,                 1.1631,                0.55975,                 1.4584,               0.007426,               0.007426,               0.007426
                     55,                 1.1157,                0.75141,                  1.306,                0.88061,                0.90009,                0.91766,                 0.6256,                 1.1781,                0.56991,                 1.4762,              0.0073765,              0.0073765,              0.0073765
                     56,                 1.1131,                0.74242,                 1.3016,                0.89076,                0.92134,                0.91913,                0.62978,                 1.1627,                 0.5424,                 1.4566,               0.007327,               0.007327,               0.007327
                     57,                 1.1071,                0.74233,                  1.301,                0.89127,                0.92021,                0.91537,                0.62552,                 1.1605,                0.54581,                 1.4628,              0.0072775,              0.0072775,              0.0072775
                     58,                 1.0983,                0.73193,                 1.2942,                0.88598,                0.91039,                0.91279,                0.62529,                 1.1562,                0.54297,                 1.4572,               0.007228,               0.007228,               0.007228
                     59,                 1.1005,                0.72701,                 1.2941,                0.89669,                0.91086,                0.92343,                0.63199,                 1.1665,                0.53761,                 1.4614,              0.0071785,              0.0071785,              0.0071785
                     60,                 1.0915,                0.72117,                 1.2987,                0.88852,                0.91006,                0.91466,                0.63136,                 1.1475,                0.53351,                 1.4461,               0.007129,               0.007129,               0.007129
                     61,                 1.0906,                0.71987,                 1.2901,                0.89604,                0.91868,                0.91735,                0.63158,                 1.1392,                0.53068,                 1.4467,              0.0070795,              0.0070795,              0.0070795
                     62,                 1.0893,                  0.713,                 1.2927,                0.88726,                0.93016,                0.91755,                0.63029,                 1.1479,                 0.5294,                 1.4498,                0.00703,                0.00703,                0.00703
                     63,                 1.0924,                0.70977,                 1.2912,                0.89017,                0.92293,                0.91468,                0.63628,                 1.1443,                0.52033,                 1.4504,              0.0069805,              0.0069805,              0.0069805
                     64,                  1.091,                0.71497,                  1.292,                0.89669,                0.91347,                0.91795,                0.63853,                 1.1388,                0.52088,                 1.4459,               0.006931,               0.006931,               0.006931
                     65,                  1.086,                0.71129,                 1.2881,                0.89503,                0.92758,                0.91734,                 0.6422,                 1.1295,                0.51819,                 1.4346,              0.0068815,              0.0068815,              0.0068815
                     66,                 1.0826,                0.70914,                  1.287,                0.88594,                 0.9349,                 0.9203,                0.64249,                 1.1237,                0.51726,                 1.4299,               0.006832,               0.006832,               0.006832
                     67,                 1.0811,                0.70104,                 1.2821,                0.87473,                0.94548,                0.92373,                0.64176,                 1.1305,                0.51473,                 1.4368,              0.0067825,              0.0067825,              0.0067825
                     68,                 1.0745,                0.69634,                 1.2796,                0.89337,                0.92209,                0.91899,                0.64301,                 1.1222,                0.52066,                 1.4337,               0.006733,               0.006733,               0.006733
                     69,                 1.0755,                0.69814,                 1.2781,                0.89198,                0.92044,                0.91581,                0.64844,                 1.1192,                0.52591,                  1.426,              0.0066835,              0.0066835,              0.0066835
                     70,                  1.067,                0.69107,                 1.2766,                0.90884,                0.91964,                0.92024,                0.64952,                 1.1225,                0.51493,                 1.4276,               0.006634,               0.006634,               0.006634
                     71,                 1.0682,                0.69658,                 1.2804,                0.89499,                0.93283,                0.91857,                0.64848,                 1.1167,                 0.5154,                 1.4235,              0.0065845,              0.0065845,              0.0065845
                     72,                 1.0612,                0.68527,                 1.2754,                0.89148,                0.93254,                0.92136,                0.64707,                  1.122,                0.50801,                 1.4369,               0.006535,               0.006535,               0.006535
                     73,                 1.0659,                0.69407,                 1.2737,                0.89434,                0.93014,                0.91877,                 0.6486,                 1.1226,                0.50903,                 1.4343,              0.0064855,              0.0064855,              0.0064855
                     74,                 1.0558,                0.68023,                 1.2708,                0.90078,                0.92461,                 0.9193,                0.65091,                 1.1171,                0.50643,                 1.4285,               0.006436,               0.006436,               0.006436
                     75,                 1.0519,                0.67579,                 1.2677,                0.89694,                0.94091,                0.91939,                0.65108,                 1.1136,                0.49973,                 1.4296,              0.0063865,              0.0063865,              0.0063865
                     76,                 1.0463,                0.67012,                 1.2617,                0.88332,                0.94152,                0.92337,                0.65636,                 1.0982,                0.50543,                  1.414,               0.006337,               0.006337,               0.006337
                     77,                 1.0444,                0.67089,                 1.2655,                0.88513,                0.93803,                0.92258,                0.65408,                 1.1031,                0.50305,                 1.4195,              0.0062875,              0.0062875,              0.0062875
                     78,                 1.0409,                 0.6645,                 1.2619,                0.88284,                0.93923,                0.92013,                 0.6505,                 1.1063,                0.49839,                 1.4241,               0.006238,               0.006238,               0.006238
                     79,                 1.0423,                0.67008,                 1.2645,                0.89447,                0.93723,                0.92035,                0.65397,                 1.0982,                0.49536,                 1.4134,              0.0061885,              0.0061885,              0.0061885
                     80,                 1.0301,                 0.6523,                 1.2551,                0.90084,                0.92916,                0.91835,                0.65594,                 1.0928,                0.49992,                 1.4092,               0.006139,               0.006139,               0.006139
                     81,                 1.0375,                0.65363,                 1.2561,                0.90031,                0.93221,                0.92216,                0.65736,                 1.0947,                0.49396,                 1.4129,              0.0060895,              0.0060895,              0.0060895
                     82,                 1.0313,                0.65428,                 1.2551,                0.90251,                0.92532,                0.92097,                0.65609,                 1.0961,                0.49714,                 1.4142,                0.00604,                0.00604,                0.00604
                     83,                 1.0251,                0.64591,                 1.2514,                0.90013,                0.92423,                 0.9172,                0.65664,                 1.0877,                0.50059,                 1.4078,              0.0059905,              0.0059905,              0.0059905
                     84,                 1.0205,                0.64393,                   1.25,                0.89548,                0.93486,                0.91867,                0.65742,                 1.0824,                0.49118,                 1.4042,               0.005941,               0.005941,               0.005941
                     85,                 1.0237,                0.64112,                 1.2487,                0.89727,                0.93132,                0.91925,                0.66056,                 1.0782,                 0.4907,                 1.4023,              0.0058915,              0.0058915,              0.0058915
                     86,                 1.0178,                0.63988,                 1.2471,                0.89652,                0.93132,                0.92388,                 0.6676,                 1.0752,                0.48793,                 1.4011,               0.005842,               0.005842,               0.005842
                     87,                 1.0134,                0.63795,                 1.2421,                0.89433,                0.94346,                0.92205,                0.66527,                 1.0691,                0.48391,                 1.4002,              0.0057925,              0.0057925,              0.0057925
                     88,                 1.0129,                0.63703,                 1.2399,                0.90359,                0.93802,                0.92717,                0.67107,                 1.0703,                0.48247,                 1.4003,               0.005743,               0.005743,               0.005743
                     89,                0.99505,                0.63258,                 1.2329,                 0.8952,                0.94092,                0.92437,                0.67068,                 1.0602,                0.47831,                 1.3888,              0.0056935,              0.0056935,              0.0056935
                     90,                0.99926,                0.62464,                 1.2317,                0.90414,                0.94377,                0.92362,                0.67354,                 1.0567,                0.47155,                 1.3879,               0.005644,               0.005644,               0.005644
                     91,                0.99561,                0.62477,                 1.2361,                0.89937,                0.94655,                0.92247,                  0.674,                 1.0547,                0.46834,                 1.3864,              0.0055945,              0.0055945,              0.0055945
                     92,                 1.0011,                0.62838,                 1.2419,                0.89768,                0.95218,                0.92626,                0.67214,                  1.059,                0.47139,                 1.3894,               0.005545,               0.005545,               0.005545
                     93,                0.99613,                0.62247,                  1.233,                0.90642,                0.93887,                0.92506,                 0.6753,                 1.0552,                0.47167,                 1.3859,              0.0054955,              0.0054955,              0.0054955
                     94,                0.99583,                0.61515,                  1.231,                0.90362,                0.94582,                  0.925,                0.67609,                 1.0521,                0.47026,                 1.3853,               0.005446,               0.005446,               0.005446
                     95,                0.99239,                0.61424,                  1.234,                0.90933,                0.94231,                 0.9261,                0.67848,                 1.0429,                 0.4687,                 1.3813,              0.0053965,              0.0053965,              0.0053965
                     96,                 0.9794,                  0.616,                 1.2276,                0.90064,                0.94453,                0.92434,                0.67688,                  1.039,                0.47119,                 1.3803,               0.005347,               0.005347,               0.005347
                     97,                0.97909,                0.61194,                 1.2228,                 0.9018,                0.94103,                0.92723,                0.67948,                 1.0407,                0.47017,                  1.381,              0.0052975,              0.0052975,              0.0052975
                     98,                 0.9749,                0.60127,                 1.2242,                0.91176,                0.93273,                0.92554,                 0.6826,                 1.0388,                0.46805,                 1.3779,               0.005248,               0.005248,               0.005248
                     99,                0.97094,                0.60156,                 1.2194,                0.90325,                0.93943,                0.92747,                0.68339,                 1.0345,                0.46752,                  1.377,              0.0051985,              0.0051985,              0.0051985
                    100,                0.96787,                0.60635,                 1.2227,                0.90685,                0.93219,                0.92703,                0.68377,                 1.0327,                 0.4696,                 1.3771,               0.005149,               0.005149,               0.005149
